"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1124586","FUTIND","BANKEX","FUTURE","25-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",15,0,15,5,"BANKEX","","","","",53234.05,65063.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5852975,"BANKEX"
"1126233","FUTIND","BSESEN","FUTURE","29-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1190,0,10,5,"BSE SENSEX","","","","",72113.5,88138.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7944305,"SENSEX"
"1140488","FUTIND","BSESEN","FUTURE","08-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",4580,0,10,5,"BSE SENSEX","","","","",71706.55,87641.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7887415,"SENSEX"
"1141518","FUTIND","BANKEX","FUTURE","11-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",53096.4,64895.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5843405,"BANKEX"
"1146678","FUTIND","BSESEN","FUTURE","14-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",30,0,10,5,"BSE SENSEX","","","","",71924.35,87907.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7900095,"SENSEX"
"1146913","FUTIND","BSESEN","FUTURE","27-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72498.6,88609.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8557185,"SENSEX"
"1166038","FUTIND","BSESEN","FUTURE","20-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72404.85,88494.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7938906,"SENSEX"
"1147439","FUTIND","BANKEX","FUTURE","30-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",53579.75,65486.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6013815,"BANKEX"
"1149148","FUTIND","BSESEN","FUTURE","22-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72030.9,88037.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7920745,"SENSEX"
"1161258","FUTIND","BSESEN","FUTURE","06-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72217.65,88266,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8122475,"SENSEX"
