sid,date,type,ticker,headline,summary,feed_type,publisher,tag,version,link,imageUrl,risk,3mAvgVol,4wpct,52wHigh,52wLow,52wpct,beta,bps,divYield,eps,inddy,indpb,indpe,marketCap,mrktCapRank,pb,pe,roe,nShareholders,lastPrice,ttmPe,marketCapLabel,12mVol,mrktCapf,apef,pbr,etfLiq,etfLiqLabel,security_type,sector,name,exchange,description,isin,tradable,gic_sector,gic_industrygroup,gic_industry,gic_subindustry,gic_short,financial_year_1_year,financial_year_1_revenue,financial_year_1_profit,financial_statement_1_displayPeriod,financial_statement_1_endDate,financial_statement_1_reporting,financial_statement_1_incTrev,financial_statement_1_incCrev,financial_statement_1_incGpro,financial_statement_1_incOpc,financial_statement_1_incRaw,financial_statement_1_incPfc,financial_statement_1_incEpc,financial_statement_1_incSga,financial_statement_1_incOpe,financial_statement_1_incEbi,financial_statement_1_incDep,financial_statement_1_incPbi,financial_statement_1_incIoi,financial_statement_1_incPbt,financial_statement_1_incToi,financial_statement_1_incNinc,financial_statement_1_incEps,financial_statement_1_incDps,financial_statement_1_incPyr,share_holding_1_title,share_holding_1_message,share_holding_1_description,share_holding_1_mood,key_ratio_ttmPe,key_ratio_pbr,key_ratio_divYield,key_ratio_indpe,key_ratio_indpb,key_ratio_inddy,holding_1_date,dividend_1_description,dividend_1_dividend,dividend_1_exDate,dividend_1_type,dividend_1_title,dividend_1_subType,peer_1_name,peer_1_ticker,peer_1_sector,peer_1_ttmPe,peer_1_marketCap,peer_1_pbr,peer_2_name,peer_2_ticker,peer_2_sector,peer_2_ttmPe,peer_2_marketCap,peer_2_pbr,peer_3_name,peer_3_ticker,peer_3_sector,peer_3_ttmPe,peer_3_marketCap,peer_3_pbr,peer_4_name,peer_4_ticker,peer_4_sector,peer_4_ttmPe,peer_4_marketCap,peer_4_pbr,peer_5_name,peer_5_ticker,peer_5_sector,peer_5_ttmPe,peer_5_marketCap,peer_5_pbr,commentary_1_title,commentary_1_message,commentary_1_description,commentary_1_mood,commentary_1_tag,recent_price_change_pct,recent_avg_volume,recent_avg_volatility,ma_15,ma_30,vwap,ma_200,annual_volatility,pct_above_52_week_low,pct_below_52_week_high,rsi,macd,macd_signal,bollinger_upper,bollinger_middle,bollinger_lower,atr,next_day_return,days_from_last,processing_date,predicted_next_day_return,valuation_score,growth_score,momentum_score,peer_analysis_score,sector_score,market_sentiment_score,headline_score,agreement_score
VIKM,2024-10-23 07:39:05,event,VIKASLIFE,General Updates,Vikas Lifecare Limited has informed the Exchange about General Updates,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Plastic Products,Vikas Lifecare Ltd,NSE,"Vikas Multicorp is a plastics materials, basic forms, and shapes wholesaler",INE161L01027,True,Materials,Capital Goods,Chemicals,Trading Companies & Distributors,Materials,2023.0,448.51,-15.279999999999998,,,,,,,,,,,,,,,,,,,,,,,Increased Total Promoter Holding,"In last 6 months, promoter holding in the company has increased by 2.46%",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Positive,-126.77609587500105,1.5263054412139712,,29.99412336885015,3.402737445251306,1.3621327453551986,2024-01-31T00:00:00.000Z,,,,,,,Vikas Lifecare Ltd,VIKASLIFE,Plastic Products,-126.77609587500105,7302.303122399999,1.5263054412139712,Supreme Industries Ltd,SUPREMEIND,Plastic Products,53.31481768744953,581643.3350429999,11.385059495872829,Time Technoplast Ltd,TIMETECHNO,Plastic Products,26.77376417479675,96819.2860089,3.700646949443485,Xpro India Ltd,XPROINDIA,Plastic Products,67.1526230855991,31615.454948699997,5.640379459912224,Nilkamal Ltd,NILKAMAL,Plastic Products,24.454281391603303,28278.93100125,2.00436120983861,,,,,,-0.4796163069544262,0,0,4.448666666666667,4.472777777777779,0,5.2341,0.453430000673283,0.0,45.6806282722513,31.03119161093961,-0.09802356786152444,-0.07268136034836521,4.807301297860636,4.4769999999999985,4.1466987021393615,0.2078571428571428,0.2336448598130791,33,2024-11-25,-0.0342242568731308,0.0,0.0,4.0,0.0,6.0,6.0,0.0,7.0
VIR,2024-11-16 06:43:23.533000,event,VIRTUALG,Company Update,VIRTUAL GLOBAL EDUCATION LTD. - 534741 - Announcement under Regulation 30 (LODR)-Newspaper Publication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Education Services,Virtual Global Education Ltd,BSE,0,INE247C01023,False,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,Unknown,2023.0,1.34,0.6000000000000003,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,-19.804397717159762,0.5436879815139702,,38.492444685201775,6.701577455511337,0.7324601165392537,2023-06-30T00:00:00.000Z,,,,,,,Virtual Global Education Ltd,VIRTUALG,Education Services,-19.804397717159762,334.69432142000005,0.5436879815139702,Niit Learning Systems Ltd,NIITMTS,Education Services,27.719320813852626,63272.1216897,6.473182432830321,NIIT Ltd,NIITLTD,Education Services,67.35979202134307,30392.73816003,2.9255010790391665,Shanti Educational Initiatives Ltd,SEIL,Education Services,614.0064239828689,28674.1,45.000156936597605,Veranda Learning Solutions Ltd,VERANDA,Education Services,-15.031181106764036,17288.864509,4.5837171931173435,,,,,,-1.2658227848101276,0,0,0.7979999999999999,0.7966666666666665,0,0.9023500000000004,0.3976907057121869,0.0,38.582677165354326,43.248031496062985,-0.0055622177778738005,-0.004091718098192579,0.8176219096568369,0.7969999999999999,0.776378090343163,0.02642857142857142,-1.2658227848101276,9,2024-11-25,-0.034227676689624786,0.0,0.0,0.0,-8.0,6.0,0.0,0.0,7.0
WAG,2024-11-13 13:47:56.147000,event,WAGEND,Company Update,Wagend Infra Venture Limited - 503675 - Announcement under Regulation 30 (LODR)-Newspaper Publication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Specialized Finance,Wagend Infra Venture Ltd,BSE,Wagend Infra Venture Limited provides real estate development and infrastructure development services.,INE786K01023,False,Financials,Capital Goods,Diversified Financial Services,Construction & Engineering,Unknown,2023.0,0.76,0.030000000000000027,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,-560.7874999999875,,,17.859823734666996,2.4772472480770884,0.9707734843742148,2023-06-30T00:00:00.000Z,,,,,,,Wagend Infra Venture Ltd,WAGEND,Specialized Finance,-560.7874999999875,56.07875,,Indian Railway Finance Corp Ltd,IRFC,Specialized Finance,30.23000479485745,1966679.46794,3.999057857802696,Power Finance Corporation Ltd,PFC,Specialized Finance,7.645679782953794,1620679.9743360004,1.2068639470918374,REC Limited,RECLTD,Specialized Finance,9.311107462201267,1385997.4523999998,1.9985471608249412,Rail Vikas Nigam Ltd,RVNL,Specialized Finance,67.96776033918677,916157.83194,10.475343527958977,,,,,,-0.8333333333333341,0,0,1.2359999999999998,1.2238888888888888,0,1.3431,0.6927575898580812,67.6056338028169,53.14960629921261,53.2777497457091,-0.011238458748989322,-0.006434701644259838,1.3139038399060332,1.222,1.1300961600939667,0.10642857142857153,0.0,12,2024-11-25,-0.03425715118646622,0.0,0.0,6.0,0.0,6.0,0.0,0.0,7.0
URJA,2024-10-28 09:58:23,event,URJA,Statement of deviation(s) or variation(s) under Reg. 32,Urja Global Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Renewable Energy Equipment & Services,Urja Global Ltd,NSE,Urja Global Limited (Urja) is engaged in developing and operating non-renewable and renewable energy,INE550C01020,True,Industrials,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Industrials,2023.0,41.41,1.5199999999999911,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,451.5852935666675,4.9627392104640045,,48.62175839305687,6.8833929984353865,0.5524464785565466,2023-06-30T00:00:00.000Z,,,,,,,Urja Global Ltd,URJA,Renewable Energy Equipment & Services,451.5852935666675,9347.81557683,4.9627392104640045,Suzlon Energy Ltd,SUZLON,Renewable Energy Equipment & Services,90.43233988731731,867833.94972864,22.13687054668228,Waaree Energies Ltd,WAAREEENER,Renewable Energy Equipment & Services,53.25031894860586,749162.76219225,18.058685502249006,Sterling and Wilson Renewable Energy Ltd,SWSOLAR,Renewable Energy Equipment & Services,-226.39652839851001,115439.5898304,12.087788591784374,Azad Engineering Ltd,AZAD,Renewable Energy Equipment & Services,145.17206762160038,101417.20644044998,15.722135373523393,,,,,,-2.6210826210826257,0,0,18.519333333333336,18.498888888888892,0,21.93525000000001,0.6493263041798323,45.94363791631083,57.11417816813049,41.29251629146472,-0.5290474976229973,-0.3867806469545344,20.169183222456574,18.553999999999995,16.938816777543412,1.1049999999999998,0.6932409012131774,28,2024-11-25,-0.03429025411605835,0.0,0.0,6.0,0.0,6.0,6.0,0.0,7.0
YAM,2024-11-14 09:30:00,news,YAMNINV,Yamini Investment Company standalone net profit rises 1007.69% in the September 2024 quarter,Net profit of Yamini Investment Company rose 1007.69% to Rs 1.44 crore in the quarter ended September 2024 as against Rs 0.13 crore during the previous quarter ended September 2023. Sales rose 469.52% to Rs 5.98 crore in the quarter ended September 2024 as against Rs 1.05 crore during the previous quarter ended September 2023.   <p></p><table> <tr> <td><b>Particulars</b></td><td><b>Quarter Ended</b></td></tr><tr><td></td><td><b>Sep. 2024</b></td><td><b>Sep. 2023</b></td><td><b>% Var.</b></td></tr> <tr> <td><b>Sales</b></td><td>5.98</td><td>1.05</td> <td><b>470 </b></td></tr> <tr> <td><b>OPM %</b></td><td>32.61</td><td>3.81</td> <td><b>-</b></td></tr> <tr> <td><b>PBDT</b></td><td>1.95</td><td>0.17</td> <td><b>1047 </b></td></tr> <tr> <td><b>PBT</b></td><td>1.95</td><td>0.17</td> <td><b>1047 </b></td></tr> <tr> <td><b>NP</b></td><td>1.44</td><td>0.13</td> <td><b>1008 </b></td></tr> </table><p><b>Powered by Capital Market - Live</b></p>,news-article,Capital Market - Live,earnings,2.0,,,3.5780692752578727,3320690.365079365,-11.731843575418992,2.62,0.74,105.1948051948052,0.374044318435769,1.2877420650741531,,0.0049455382115108065,0.9707734843742148,2.4772472480770884,17.859823734666996,81.487592,3148.0,1.2036571935007383,313.4138153846137,0.38498556304138815,224073.0,1.55,31.58433798449613,Smallcap,50.8280196155989,81.487592,313.4138153846137,1.2036571935007383,17.86520461420231,High,stock,Asset Management & Custody Banks,Yamini Investments Company Ltd,BSE,0,INE457N01025,False,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,Unknown,2023.0,6.39,0.2199999999999991,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,31.58433798449613,1.2036571935007383,,17.859823734666996,2.4772472480770884,0.9707734843742148,2023-06-30T00:00:00.000Z,,,,,,,Yamini Investments Company Ltd,YAMNINV,Asset Management & Custody Banks,31.58433798449613,814.8759200000003,1.2036571935007383,Yogi Ltd,YOGI,Asset Management & Custody Banks,-677.3478260869565,1557.9,2.791935483870968,Colab Cloud Platforms Ltd,COLABCLOUD,Asset Management & Custody Banks,68.33009708737872,1407.6,6.486635944700461,Caspian Corporate Services Ltd,CASPIAN,Asset Management & Custody Banks,10.81000000000001,1368.546,5.048122464035411,Morgan Ventures Ltd,MORGAN,Asset Management & Custody Banks,5.8959312244897975,1011.1522050000001,1.5876153320772493,,,,,,1.8292682926829285,0,0,1.628,1.6452941176470588,0,1.2183000000000004,0.5147589027933887,122.66666666666666,33.2,37.42711370262389,-0.00947703715412973,-0.02055723823610257,1.8592883805523504,1.6705000000000003,1.4817116194476505,0.0557142857142857,-1.8633540372670825,11,2024-11-25,-0.03429882973432541,0.0,4.0,0.0,0.0,5.0,6.0,0.0,2.0
TRI,2024-11-13 15:39:01.593000,event,TRIVENIENT,Company Update,"Triveni Enterprises Ltd - 538569 - Non- Applicability Of Regulation 23(9) Of SEBI (LODR) Regulations, 2015",announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Commodities Trading,Triveni Enterprises Ltd,BSE,"The Company is involved in the business of wholesale of textile, fabrics, yarn, household linen and articles of clothing. Its product range includes both finished and unfinished fabrics.",INE916P01025,False,Industrials,Consumer Discretionary Distribution & Retail,Trading Companies & Distributors,Distributors,Unknown,2023.0,9.05,0.32000000000000145,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,69.93234782608695,1.5303939105613702,,48.62175839305687,6.8833929984353865,0.5524464785565466,2023-06-30T00:00:00.000Z,,,,,,,Triveni Enterprises Ltd,TRIVENIENT,Commodities Trading,69.93234782608695,160.8444,1.5303939105613702,Adani Enterprises Ltd,ADANIENT,Commodities Trading,49.99737234604567,2767494.5519962003,6.2632426302280635,MMTC Ltd,MMTC,Commodities Trading,56.85642244096397,117255.0,7.212674080999951,MSTC Ltd,MSTCLTD,Commodities Trading,23.472081218274113,50864.0,5.721227391343473,Veritas (India) Ltd,VERITAS,Commodities Trading,11.676610359810581,23917.201,0.9528233883369054,,,,,,1.632653061224491,0,0,2.4426666666666668,2.4066666666666667,0,2.3838999999999997,0.6731707946274189,94.53125,47.02127659574467,66.27782041442828,0.024260149242106618,0.02086858074128486,2.5894837618967195,2.4015000000000004,2.213516238103282,0.1928571428571428,0.7874015748031503,12,2024-11-25,-0.03430534899234772,0.0,0.0,6.0,0.0,6.0,6.0,0.0,7.0
ZEA,2024-11-12 18:00:04.430000,event,ZEAL,Company Update,Zeal Aqua Ltd - 539963 - Announcement under Regulation 30 (LODR)-Newspaper Publication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Packaged Foods & Meats,Zeal Aqua Ltd,BSE,"Zeal Aqua Limited is engaged in aquaculture activities in Gujarat. The Company is engaged in fishing, operation of fish hatcheries and fish farms. In addition to shrimp farming, the Company is also engaged in satellite farming.",INE819S01025,False,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,Unknown,2023.0,371.07000000000005,7.060000000000044,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,12.366266204506081,1.8059568716780567,,51.9971706768611,10.327331006026508,1.4490763820511403,2023-06-30T00:00:00.000Z,,,,,,,Zeal Aqua Ltd,ZEAL,Packaged Foods & Meats,12.366266204506081,1427.0671200000006,1.8059568716780567,Patanjali Foods Ltd,PATANJALI,Packaged Foods & Meats,101.4375138553497,634359.7803971999,6.215977568512861,LT Foods Ltd,LTFOODS,Packaged Foods & Meats,22.024072440358477,132476.99813599998,3.866033931753384,Avanti Feeds Ltd,AVANTIFEED,Packaged Foods & Meats,18.847019064606346,78852.1583625,2.9321027030569637,Manorama Industries Ltd,MANORAMA,Packaged Foods & Meats,117.68362488789222,70857.310545,21.025284277914604,,,,,,-3.185247275775348,0,0,12.257333333333335,12.089444444444444,0,12.142399999999993,0.5542348650333344,55.66037735849058,34.337691870380894,55.19103778132521,-0.02535362296252508,0.05541486814433482,13.15393237388161,12.0065,10.859067626118392,0.7335714285714288,1.6187050359712365,13,2024-11-25,-0.034308843314647675,0.0,4.0,6.0,0.0,6.0,6.0,0.0,7.0
YOG,2024-11-15 06:55:20.923000,event,URSUGAR,Company Update,UR Sugar Industries Ltd - 539097 - Announcement under Regulation 30 (LODR)-Newspaper Publication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Trading Companies & Distributors,UR Sugar Industries Ltd,BSE,"HKG Limited is an India-based company, that is engaged in the trading business, including trading in securities and other financial consultancy services. The Company is a dealer in metals, information technology (IT) hardware, bullion and fabrics. It is also engaged in the business of creating and managing various Web portals, such as HKG Money, Mera Style, Area Online, My RERA RERA (Real Estate Rating Agency) and My Locker. The HKG Money is an online platform that provides information related to capital markets, finance and investment. The Mera Style is an online fashion boutique for women. The Area online is an online business platform for entrepreneurs, small business owners and starts ups. The My RERA is an information repository for real estate industry, which include reviews and ratings on properties, real estate brokers / agents and builders registered and listed on its portal. The My Locker is a Web portal to store and manage documents.",INE904R01027,False,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,Unknown,2023.0,9.16,-0.19999999999999965,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,1718.5000000000011,2.8389317180616738,,48.62175839305687,6.8833929984353865,0.5524464785565466,2023-06-30T00:00:00.000Z,,,,,,,UR Sugar Industries Ltd,URSUGAR,Trading Companies & Distributors,1718.5000000000011,515.55,2.8389317180616738,Lloyds Enterprises Ltd,LLOYDSENT,Trading Companies & Distributors,56.00858398329364,61049.35654179,2.9810420593475335,Vintage Coffee and Beverages Ltd,VINCOFE,Trading Companies & Distributors,76.40463915656967,15235.08504782,9.16120568119062,Aerpace Industries Ltd,AERPACE,Trading Companies & Distributors,-301.4936450166667,6331.3665453500025,38.96225566369231,Stratmont Industries Ltd,STRATMONT,Trading Companies & Distributors,371.2126446753268,5716.674728,123.20419672413792,,,,,,0.2162162162162116,0,0,9.877333333333333,9.901666666666667,0,13.897500000000004,0.4970367069833559,0.2162162162162116,52.824427480916036,38.95575283343275,-0.16629336936863126,-0.1038383037999717,10.54511851330816,9.908,9.270881486691842,0.6621428571428568,1.414141414141402,10,2024-11-25,-0.03431675583124161,0.0,0.0,5.0,-6.4,6.0,7.0,0.0,2.0
VINN,2024-11-15 09:56:55,event,VINNY,Copy of Newspaper Publication,Vinny Overseas Limited has informed the Exchange about Copy of Newspaper Publication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Textiles,Vinny Overseas Ltd,NSE,"Vinny Overseas is engaged in the processing of fabrics for shirting, suiting and dress materials",INE01KI01027,True,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Textiles,Discretionary,2023.0,106.63,2.4100000000000006,,,,,,,,,,,,,,,,,,,,,,,Decreased Total Promoter Holding,"In last 6 months, promoter holding in the company has decreased by 35.94%",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Negative,40.075699122772065,2.583878462432174,,38.492444685201775,6.701577455511337,0.7324601165392537,2023-09-30T00:00:00.000Z,,,,,,,Vinny Overseas Ltd,VINNY,Textiles,40.075699122772065,809.52912228,2.583878462432174,Vedant Fashions Ltd,MANYAVAR,Textiles,85.19246509739872,343223.4033844,21.426286824506207,KPR Mill Ltd,KPRMILL,Textiles,39.9940717570274,323544.0417,7.423748670905392,Aditya Birla Real Estate Ltd,ABREL,Textiles,317.0125566478585,309055.54147600004,7.547696814809386,Swan Energy Ltd,SWANENERGY,Textiles,57.83177085120351,191960.9969864,2.3923473819211463,,,,,,-4.891304347826091,0,0,1.8313333333333333,1.82,0,3.9504499999999987,0.5641072819002305,4.1666666666666705,70.43918918918921,41.61407069169625,-0.06432526796162286,-0.06672154351662762,1.9389157703189213,1.8225000000000011,1.7060842296810812,0.08357142857142852,-0.5747126436781614,10,2024-11-25,-0.034317221492528915,0.0,0.0,6.0,0.0,6.0,6.0,0.0,7.0
VISAG,2024-11-16 07:16:24.637000,event,VISAGAR,Company Update,VISAGAR FINANCIAL SERVICES LTD. - 531025 - Announcement under Regulation 30 (LODR)-Newspaper Publication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stock,Diversified Financials,Visagar Financial Services Ltd,BSE,Visagar Financial Services is engaged in the business of investing in securities of listed and unlisted companies.,INE309H01038,False,Financials,Financial Services,Diversified Financial Services,Investment Banking & Brokerage,Unknown,2023.0,51.8,1.2800000000000002,,,,,,,,,,,,,,,,,,,,,,,Total Promoter Holding,"In last 6 months, promoter holding in the company has almost stayed constant",Increasing promoter holding is considered good and reflects management’s positive view about the future outlook,Neutral,-13.39256066513767,0.7061217893421478,,17.859823734666996,2.4772472480770884,0.9707734843742148,2023-06-30T00:00:00.000Z,,,,,,,Visagar Financial Services Ltd,VISAGAR,Diversified Financials,-13.39256066513767,437.93673375,0.7061217893421478,Motilal Oswal Financial Services Ltd,MOTILALOFS,Diversified Financials,16.1101825563414,545313.5693495999,6.2188361081478085,Aditya Birla Capital Ltd,ABCAPITAL,Diversified Financials,13.463102495141554,503642.547551,1.7586647692349062,Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,Diversified Financials,14.047954366916713,288557.62585540005,1.3042730292930496,Piramal Enterprises Ltd,PEL,Diversified Financials,-14.096495173239115,267276.5967322,1.0064242705127262,,,,,,1.3513513513513526,0,0,0.7586666666666667,0.75,0,0.8262999999999997,0.4565773935192578,7.1428571428571495,31.19266055045872,62.27635116343747,0.0019030518342374454,0.0026671118812794142,0.7968643809366952,0.7474999999999999,0.6981356190633047,0.032142857142857174,-1.2987012987012998,9,2024-11-25,-0.034317392855882645,0.0,0.0,6.0,0.0,6.0,6.0,0.0,7.0
