tickertape_sync started run_id=5 companies=4487 snapshot_date=2026-05-21 db=local_repository/tickertape.sqlite
progress index=150/4487 succeeded=0 failed=18 skipped=132 elapsed_sec=569.2
progress index=500/4487 succeeded=24 failed=48 skipped=428 elapsed_sec=998.9
progress index=800/4487 succeeded=211 failed=111 skipped=478 elapsed_sec=1783.2
progress index=900/4487 succeeded=285 failed=119 skipped=496 elapsed_sec=1949.0
progress index=950/4487 succeeded=324 failed=122 skipped=504 elapsed_sec=2034.1
progress index=1000/4487 succeeded=363 failed=129 skipped=508 elapsed_sec=2123.1
progress index=1050/4487 succeeded=396 failed=134 skipped=520 elapsed_sec=2202.7
progress index=1100/4487 succeeded=434 failed=138 skipped=528 elapsed_sec=2286.4
progress index=1200/4487 succeeded=503 failed=150 skipped=547 elapsed_sec=2453.0
progress index=1250/4487 succeeded=531 failed=158 skipped=561 elapsed_sec=2547.3
progress index=1300/4487 succeeded=570 failed=163 skipped=567 elapsed_sec=2632.6
progress index=1350/4487 succeeded=609 failed=169 skipped=572 elapsed_sec=2721.8
progress index=1400/4487 succeeded=644 failed=175 skipped=581 elapsed_sec=2799.6
progress index=1450/4487 succeeded=679 failed=176 skipped=595 elapsed_sec=2873.7
progress index=1500/4487 succeeded=710 failed=180 skipped=610 elapsed_sec=2946.4
progress index=1550/4487 succeeded=742 failed=183 skipped=625 elapsed_sec=3015.4
progress index=1600/4487 succeeded=777 failed=187 skipped=636 elapsed_sec=3093.3
progress index=1650/4487 succeeded=814 failed=193 skipped=643 elapsed_sec=3177.3
progress index=1800/4487 succeeded=921 failed=208 skipped=671 elapsed_sec=3429.7
progress index=1850/4487 succeeded=951 failed=219 skipped=680 elapsed_sec=3513.6
progress index=1900/4487 succeeded=977 failed=231 skipped=692 elapsed_sec=3594.4
progress index=2000/4487 succeeded=1049 failed=242 skipped=709 elapsed_sec=3770.0
progress index=2050/4487 succeeded=1084 failed=246 skipped=720 elapsed_sec=3845.2
progress index=2100/4487 succeeded=1122 failed=250 skipped=728 elapsed_sec=3926.8
progress index=2200/4487 succeeded=1194 failed=255 skipped=751 elapsed_sec=4077.2
progress index=2250/4487 succeeded=1234 failed=259 skipped=757 elapsed_sec=4171.3
progress index=2300/4487 succeeded=1274 failed=265 skipped=761 elapsed_sec=4257.3
progress index=2350/4487 succeeded=1312 failed=271 skipped=767 elapsed_sec=4347.4
progress index=2400/4487 succeeded=1351 failed=277 skipped=772 elapsed_sec=4438.0
progress index=2450/4487 succeeded=1380 failed=288 skipped=782 elapsed_sec=4512.2
progress index=2500/4487 succeeded=1414 failed=291 skipped=795 elapsed_sec=4584.9
progress index=2550/4487 succeeded=1447 failed=295 skipped=808 elapsed_sec=4659.4
progress index=2600/4487 succeeded=1481 failed=296 skipped=823 elapsed_sec=4726.5
progress index=2650/4487 succeeded=1513 failed=303 skipped=834 elapsed_sec=4799.3
progress index=2700/4487 succeeded=1547 failed=309 skipped=844 elapsed_sec=4877.8
progress index=2800/4487 succeeded=1620 failed=318 skipped=862 elapsed_sec=5033.7
progress index=2850/4487 succeeded=1653 failed=323 skipped=874 elapsed_sec=5108.2
progress index=2900/4487 succeeded=1691 failed=328 skipped=881 elapsed_sec=5187.2
progress index=3000/4487 succeeded=1756 failed=343 skipped=901 elapsed_sec=5343.3
progress index=3050/4487 succeeded=1788 failed=349 skipped=913 elapsed_sec=5417.1
progress index=3100/4487 succeeded=1829 failed=356 skipped=915 elapsed_sec=5507.2
progress index=3200/4487 succeeded=1896 failed=367 skipped=937 elapsed_sec=5656.8
progress index=3250/4487 succeeded=1932 failed=371 skipped=947 elapsed_sec=5740.8
progress index=3300/4487 succeeded=1971 failed=376 skipped=953 elapsed_sec=5823.2
progress index=3350/4487 succeeded=2011 failed=380 skipped=959 elapsed_sec=5909.2
progress index=3400/4487 succeeded=2049 failed=384 skipped=967 elapsed_sec=5996.1
progress index=3450/4487 succeeded=2077 failed=391 skipped=982 elapsed_sec=6062.8
progress index=3550/4487 succeeded=2155 failed=400 skipped=995 elapsed_sec=6225.0
progress index=3600/4487 succeeded=2195 failed=404 skipped=1001 elapsed_sec=6310.5
progress index=3650/4487 succeeded=2233 failed=407 skipped=1010 elapsed_sec=6386.6
progress index=3700/4487 succeeded=2270 failed=411 skipped=1019 elapsed_sec=6467.0
progress index=3750/4487 succeeded=2304 failed=417 skipped=1029 elapsed_sec=6549.8
progress index=3800/4487 succeeded=2340 failed=423 skipped=1037 elapsed_sec=6635.2
progress index=3850/4487 succeeded=2379 failed=425 skipped=1046 elapsed_sec=6720.2
progress index=3900/4487 succeeded=2418 failed=429 skipped=1053 elapsed_sec=6802.8
progress index=3950/4487 succeeded=2458 failed=435 skipped=1057 elapsed_sec=6898.4
progress index=4000/4487 succeeded=2491 failed=442 skipped=1067 elapsed_sec=6977.1
progress index=4050/4487 succeeded=2530 failed=447 skipped=1073 elapsed_sec=7068.7
progress index=4150/4487 succeeded=2609 failed=454 skipped=1087 elapsed_sec=7236.7
progress index=4200/4487 succeeded=2641 failed=462 skipped=1097 elapsed_sec=7318.5
progress index=4250/4487 succeeded=2681 failed=467 skipped=1102 elapsed_sec=7409.0
