tickerSymbol,Risk,EPS,MarketCap,ROE,LastPrice,Beta,MrktCapRank,TtmPe,PB,PE
VIKASLIFE,3.181098649,0.090736159,730.2303122,3.45800032,4.29,1.730013273,1621,-126.7760959,1.526305441,52.010706
GVKPIL,3.299684531,0.13,797.501252,,5.05,0.932711617,1569,1.448106573,1.760449553,39.09319863
BCG,4.516204916,3.41,1635.002717,22.30102315,8.1,2.15806194,1231,2.380332397,0.233541456,2.378116589
SARVESHWAR,3.791434084,0.181609701,926.938752,7.191839534,9.47,0.25309992,1499,45.66200749,3.666688101,55.24068844
NILAINFRA,3.987862996,0.285613315,481.7264916,8.140965338,12.23,1.567415192,1857,25.67838441,3.351140811,42.82013259
RTNPOWER,3.557696824,16.56717806,7120.76037,3042.664159,13.26,0.999549336,656,0.700143492,1.502016615,0.800377708
NILASPACES,4.038112933,0.34070495,566.4126696,11.10191926,14.38,2.153981873,1758,28.22185698,4.439666637,42.20660727
VERTOZ,4.325352349,0.292407407,1270.7793,12.09220401,14.91,1.136461798,1346,56.12982774,8.007431002,80.48000633
DPSCLTD,3.347201802,0.176526832,1635.966595,1.700237875,16.8,0.962104441,1230,91.90823569,1.609712189,95.16966813
HATHWAY,2.952620031,0.561040323,3012.717859,2.343355498,17.02,1.28446131,962,29.80528155,0.702072124,30.33650044
JPPOWER,3.512956543,1.491144874,11904.45798,9.306554885,17.37,1.769008036,476,9.207990148,1.035997255,11.64876754
URJA,4.356195001,0.038209309,934.7815577,1.103657217,17.79,1.602028604,1493,451.5852936,4.96273921,458.2262538
CCCL,4.544115619,16.87681602,757.1712572,,19,2.587948943,1595,0.994211058,27.44368457,1.125804772
SYNCOMF,4.206883151,0.269361702,1840.52,9.306257466,19.74,,1172,55.55448234,6.387589366,72.69036335
YESBANK,3.349934682,0.446853486,63514.86917,3.101623598,20.26,1.018549444,147,35.4342718,1.506691564,49.41983736
ALANKIT,3.439134511,0.869045635,565.3646385,9.013306553,20.86,1.707696317,1760,22.36410754,1.904931563,26.2471977
SPCENET,4.415310418,0.192630677,1248.495549,12.70634099,22.12,1.250110406,1356,111.3733764,11.37996125,119.7023537
HINDMOTORS,4.417782905,1.218253912,466.9794977,697.39369,22.38,1.205954206,1870,11.59909334,28.5964175,18.37055459
SEPC,4.399274043,0.160043751,3580.780942,1.98088679,22.9,1.249266809,891,158.7225595,2.954732269,157.1896814
SINDHUTRAD,5.049109775,0.368758925,3540.268479,2.823062124,22.96,,902,19.75265569,1.627754549,62.26289973
SOUTHBANK,2.996601175,4.373705231,6129.953803,13.80807906,23.43,1.37935801,709,5.06022272,0.694506874,5.72785816
VAKRANGEE,4.359460088,0.038269971,2596.402132,3.04238355,23.97,1.98284023,1017,408.8822255,16.01629839,596.8740534
PVP,4.113277779,2.634197414,661.4253497,39.33329386,25.4,0.623132928,1674,9.428729148,2.880521513,9.956726626
INFIBEAM,3.70248289,0.55206792,7341.941703,4.776056295,26.44,1.376400587,644,35.80910942,2.124564262,46.42684775
UYFINCORP,3.968309401,3.411510201,501.8487119,22.73204904,26.6,,1832,27.92702904,1.578140603,7.732645792
SBC,3.909509788,0.292636268,884.44356,23.62064582,27.86,,1519,52.48923205,20.01909371,95.20382777
UDAICEMENT,2.971058797,1.280248967,1577.763972,9.608073222,29.3,,1254,95.97104454,1.763692428,25.69229722
